Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,quant
"Jeffrey N.K., Barata P.C.",56330024700;9737235400;,When social assistance reproduces social inequality: intimate partner violence survivors’ adverse experiences with subsidized housing,2017,Housing Studies,32,7,,912,930,,4,10.1080/02673037.2017.1291912,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013032123&doi=10.1080%2f02673037.2017.1291912&partnerID=40&md5=8c6f964b1a5bf165fe32f128d06d7f30,"Department of Psychology, University of Guelph, Guelph, Canada","Jeffrey, N.K., Department of Psychology, University of Guelph, Guelph, Canada; Barata, P.C., Department of Psychology, University of Guelph, Guelph, Canada","This study examined women’s experiences using priority-subsidized housing programs for intimate partner violence (IPV) survivors. Interviews with 10 women highlighted that subsidized housing programs, although very important, can impede women’s efforts to safely escape abuse. Our analysis explored three negative accounts: subsidized housing programs as stigmatizing, difficult to access and qualify for, and controlling. Results have important implications for improving practices and policies of subsidized housing programs and suggest that: (a) subsidized and nonsubsidized housing should be integrated; (b) eligibility should not be based on extent and timeframe of abuse; and (c) women should be permitted to choose their own housing. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",domestic violence; housing; Intimate partner violence; social assistance; women,domestic violence; housing policy; housing provision; womens status,Article,Final,,Scopus,2-s2.0-85013032123,1
Winston N.,24167161000;,Multifamily housing and resident life satisfaction in Europe: an exploratory analysis,2017,Housing Studies,32,7,,887,911,,13,10.1080/02673037.2017.1280776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009987947&doi=10.1080%2f02673037.2017.1280776&partnerID=40&md5=8a56eaa0556f3effe46c43918c27a5f9,"School of Social Policy, Social Work and Social Justice, University College Dublin, Dublin, Ireland","Winston, N., School of Social Policy, Social Work and Social Justice, University College Dublin, Dublin, Ireland","Much of the literature on sustainable communities and compact cities calls for higher density housing including multifamily dwellings. Some researchers suggest problems with such dwellings. However, rigorous comparative research on this topic has not been conducted to date. This paper draws on a high quality, comparative data-set, the European Social Survey, to analyse (a) the quality of multifamily dwellings in European urban areas, (b) the characteristics of residents, (c) their life satisfaction compared with those living in detached housing and (d) the relative importance of built form in explaining life satisfaction. One of the main findings from the multivariate analyses is that residing in multifamily housing is not a statistically significant predictor of life satisfaction when you control for standard predictors of life satisfaction and housing and neighbourhood quality. Overall, the findings provide support for both place-based and people-based responses to urban regeneration. Both physical and social regeneration are required, addressing the education/training needs of residents and economic development strategies. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",built form; compact cities; life satisfaction; multifamily housing; Quality of life,comparative study; housing conditions; multivariate analysis; quality of life; residential location; residential satisfaction; urban housing; Europe,Article,Final,,Scopus,2-s2.0-85009987947,1
"Zaretzky K., Flatau P., Spicer B., Conroy E., Burns L.",25724042800;7003468745;40462619400;57208891556;8570873300;,What drives the high health care costs of the homeless?,2017,Housing Studies,32,7,,931,947,,12,10.1080/02673037.2017.1280777,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009958072&doi=10.1080%2f02673037.2017.1280777&partnerID=40&md5=f9500ef357ea49f6c28753e4b911227f,"The Centre for Social Impact UWA, The UWA Business School, The University of Western Australia, Perth, Australia; National Drug and Alcohol Research Centre, UNSW Medicine, The University of New South Wales, Sydney, Australia; Centre for Health Research, School of Medicine, Western Sydney University, Sydney, Australia","Zaretzky, K., The Centre for Social Impact UWA, The UWA Business School, The University of Western Australia, Perth, Australia; Flatau, P., The Centre for Social Impact UWA, The UWA Business School, The University of Western Australia, Perth, Australia; Spicer, B., National Drug and Alcohol Research Centre, UNSW Medicine, The University of New South Wales, Sydney, Australia; Conroy, E., Centre for Health Research, School of Medicine, Western Sydney University, Sydney, Australia; Burns, L., National Drug and Alcohol Research Centre, UNSW Medicine, The University of New South Wales, Sydney, Australia","Existing research demonstrates that mean health care costs incurred by those experiencing homelessness are high. However, high mean health care costs mask the fact that a sizeable number of people experiencing homelessness incur low costs and that very high costs are driven by a minority of the homeless population. This paper examines health care costs estimated from two Australian surveys of those experiencing homelessness undertaken by the authors. It demonstrates three important findings. First, higher health care costs are most strongly associated with diagnosed mental health disorders, followed by long-term physical health conditions. Second, having a current drug or alcohol dependency, but no diagnosed mental health disorder or long-term physical health issue, is not associated with higher level health care costs. Finally, higher health care costs are incurred by those with long periods of rough sleeping. The findings of this research provide a significant economic argument for government intervention to break the cycle of homelessness as they reveal significant potential savings to effective interventions for homeless people with diagnosed mental health disorders and long-term rough sleeping. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",alcohol and drug dependence; health care costs; Homelessness; housing economics; housing need; mental health,alcoholic beverage; drug user; health care; homelessness; housing; mental health; Australia,Article,Final,,Scopus,2-s2.0-85009958072,1
"Borrowman L., Kazakevitch G., Frost L.",54998005000;16637438100;54995624000;,How long do households remain in housing affordability stress?,2017,Housing Studies,32,7,,869,886,,9,10.1080/02673037.2017.1280140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009755005&doi=10.1080%2f02673037.2017.1280140&partnerID=40&md5=545581ae0e50d0f966cdbced4ab60db2,"School of Business, Monash University Malaysia, Kuala Lumpur, Malaysia; Monash Business School, Monash University, Melbourne, Australia","Borrowman, L., School of Business, Monash University Malaysia, Kuala Lumpur, Malaysia; Kazakevitch, G., Monash Business School, Monash University, Melbourne, Australia; Frost, L., Monash Business School, Monash University, Melbourne, Australia","We develop a model that specifies the duration of housing affordability stress for particular types of households. Using panel data from Australia, households are considered in semi- and parametric analysis against different household characteristics, revealing whether these characteristics predict the duration of housing affordability stress. For most types of households, an experience of housing affordability stress lasts less than one year. A group of household types disproportionately made up of renters and sole persons remains in stress for longer periods. Chronic housing affordability stress occurs if the duration of stress lasts for more than three years. Linking the duration of stress to household types, and demographic, financial and educational characteristics makes it possible to design more targeted, and therefore more efficient housing affordability policies. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",duration of housing stress; household budget; Housing affordability,affordable housing; demography; education; finance; model; panel data; Australia,Article,Final,,Scopus,2-s2.0-85009755005,1
"Basolo V., Yerena A.",6603617974;55926410900;,"Residential mobility of low-income, subsidized households: a synthesis of explanatory frameworks",2017,Housing Studies,32,6,,841,862,,19,10.1080/02673037.2016.1240762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990946904&doi=10.1080%2f02673037.2016.1240762&partnerID=40&md5=6b811994dec5b8552adbd676403d8032,"School of Social Ecology, University of California, Irvine, CA, United States; Urban Studies, University of Washington, Tacoma, WA, United States","Basolo, V., School of Social Ecology, University of California, Irvine, CA, United States; Yerena, A., Urban Studies, University of Washington, Tacoma, WA, United States","Mobility, residential quality, and life outcomes are linked in the literature and these relationships have influenced low-income housing policy. This research investigates the determinants of mobility for households with a federal housing subsidy. Combining unique data from a survey of Housing Choice Voucher households, client program files, and secondary data, this study uses logistic regression to test several explanations for mobility, including the life cycle, housing market perceptions, and perceived and actual neighborhood conditions. The results indicate that a synthesis of explanations produce the best model to predict residential mobility. Neighborhood quality, perceived and actual, variables most strongly influence mobility, but life cycle factors and perception of the local housing market also impact moving choices. At the same time, the results suggest a gap in our understanding of the relationship among individuals’ environmental perceptions, formation of feelings of neighborhood satisfaction, and actual neighborhood conditions. The article concludes with a discussion of the research and policy implications from this study. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",low-income renters; Mobility; neighborhoods; residential satisfaction; subsidized households,household expenditure; housing market; housing policy; low income population; rental sector; research work; residential mobility; residential satisfaction; subsidy system,Article,Final,,Scopus,2-s2.0-84990946904,1
Reid C.K.,36545115600;,Financialization and the subprime subject: the experiences of homeowners during California’s housing boom,2017,Housing Studies,32,6,,793,815,,12,10.1080/02673037.2016.1240760,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990207805&doi=10.1080%2f02673037.2016.1240760&partnerID=40&md5=1c3c4ecd2b2e53a4c88af9e3a46bbfe8,"Department of City and Regional Planning, UC-Berkeley, Berkeley, CA, United States","Reid, C.K., Department of City and Regional Planning, UC-Berkeley, Berkeley, CA, United States","This paper extends scholarship on the ‘everyday practices’ of global finance by specifically examining the decisions, motivations, and financial practices of homeowners caught up in the subprime lending boom in California. Drawing on evidence from 80 in-depth interviews in Oakland and Stockton, the paper explores how homeowners enacted their own subject positions within the financial ecologies of subprime markets. The research enriches and complicates our understanding of the interplay between financialization and the formation of financial subjects, and highlights how race and class, affective ties, and distinct socio-spatial relations shape and inform borrowers’ financial decisions and practices, even during a period of excessive credit access and house price speculation. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",financial practices; financialization; Subprime lending,credit provision; financial services; homeowner; housing market; lending behavior; social housing; California; Oakland; Stockton [California]; United States,Article,Final,,Scopus,2-s2.0-84990207805,0
"Huang X., Dijst M., Van Weesep J.",55801304500;6603770108;56624670900;,"Social networks of rural–urban migrants after residential relocation: evidence from Yangzhou, a medium-sized Chinese city",2017,Housing Studies,32,6,,816,840,,23,10.1080/02673037.2016.1240761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990193028&doi=10.1080%2f02673037.2016.1240761&partnerID=40&md5=afe2fc1d1dc79edbb647ba223d3fc3b1,"School of Geography and Planning, Sun Yat-Sen University, Guangzhou, China; Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands","Huang, X., School of Geography and Planning, Sun Yat-Sen University, Guangzhou, China, Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands; Dijst, M., Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands; Van Weesep, J., Faculty of Geosciences, Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands","This paper analyses the effects of residential relocation on China’s rural–urban migrants’ social networks in light of evidence from Yangzhou, Jiangsu province. Our study contrasts voluntary moves with forced moves driven by demolition-led redevelopment of urban villages. Based on data from a survey conducted between 2012 and 2013, the regression analysis shows that voluntarily relocated migrants are more likely than forced movers to use phone/computer to contact their former neighbours, and communication technology allows them to maintain the frequency of their contact. Furthermore, when moving to a gated neighbourhood, voluntary movers are more likely than forced movers to participate in public activities, to have more contact with new neighbours and thereby to get more help from the residents’ committee and new neighbours. The results suggest that forced moves have negative effects on migrants’ social networks in the neighbourhood and that the demolition-led redevelopment programmes do not promote the migrants’ integration in the city. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",Chinese cities; forced relocation; gated neighbourhoods; Rural–urban migrants; social networks; urban villages,forced migration; gated community; neighborhood; relocation; residential location; rural-urban migration; social network; urban area; China; Jiangsu; Yangzhou,Article,Final,,Scopus,2-s2.0-84990193028,1
"Duffy D., Kelleher C., Hughes A.",12244657100;57536260700;57191371923;,Landlord attitudes to the private rented sector in Ireland: survey results,2017,Housing Studies,32,6,,778,792,,3,10.1080/02673037.2016.1236907,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989244153&doi=10.1080%2f02673037.2016.1236907&partnerID=40&md5=0791b04b000d2212d21d187e7ff1079b,"Economic and Social Research Institute, Dublin, Ireland; Department of Economics, Trinity College Dublin, Dublin, Ireland; DKM Economic Consultants, Dublin, Ireland","Duffy, D., Economic and Social Research Institute, Dublin, Ireland, Department of Economics, Trinity College Dublin, Dublin, Ireland; Kelleher, C., DKM Economic Consultants, Dublin, Ireland; Hughes, A., DKM Economic Consultants, Dublin, Ireland","The private rented sector (PRS) in Ireland has grown rapidly over the past decade. A significant element of this growth occurred post-2006 and may be attributed to issues associated with the housing boom and bust. As economic recovery gets underway, severe supply constraints have emerged, putting pressure on the PRS. This paper presents findings of a national survey of landlords undertaken at this time, the first of its kind in Ireland. Despite the current difficulties being experienced in the Irish rental market over 60 per cent of landlords intend to remain in the sector. The survey points to policy changes that could help provide a more stable rental market, for example, the provision of unfurnished accommodation and longer leases. With approximately one-third of landlords expressing the intention to leave, maintaining supply remains a key challenge for the sector. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",Ireland; landlords; policy; Private rented; survey,housing policy; landownership; private sector; public attitude; rental sector; survey method; Ireland,Article,Final,,Scopus,2-s2.0-84989244153,0
"Mackay M., Perkins H.C.",56575989800;35609897500;,The globalising world of DIY house improvement: interpreting a cultural and commercial phenomenon,2017,Housing Studies,32,6,,758,777,,11,10.1080/02673037.2016.1234031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988358493&doi=10.1080%2f02673037.2016.1234031&partnerID=40&md5=9fc6197ac06d0478827894fec985991d,"Faculty of Environment, Society and Design, Lincoln University, Christchurch, New Zealand; Department of Property, Business School, The University of Auckland, Auckland, New Zealand","Mackay, M., Faculty of Environment, Society and Design, Lincoln University, Christchurch, New Zealand; Perkins, H.C., Department of Property, Business School, The University of Auckland, Auckland, New Zealand","This paper reports a study of DIY house improvement focusing on its globalising material and commercial elements. Using a multi-method approach and a New Zealand case study we illustrate the importance in housing studies, and research into homemaking in particular, of taking account of DIY practice. We emphasise that it is not possible for housing researchers to account fully for the role and function of DIY without interpreting it as a cultural and economic phenomenon. The ways people live in and make their houses demands a focus on DIY practices, identity, homeownership, government regulation and the globalising commercial features of DIY which include: international product manufacturing, big-box retailing, tool and materials distribution and advertising, the production of printed and digital instructional material, and new popular media forms, such as DIY reality television. DIY is thus an excellent example of culture and economy combined. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",culture and economy;; DIY house improvement;; Home;; New Zealand; work-leisure;,culture; economics; homeownership; housing conditions; New Zealand,Article,Final,,Scopus,2-s2.0-84988358493,0
Jun H.-J.,55606886800;,The spatial dynamics of neighborhood change: exploring spatial dependence in neighborhood housing value change,2017,Housing Studies,32,6,,717,741,,6,10.1080/02673037.2016.1228852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986205284&doi=10.1080%2f02673037.2016.1228852&partnerID=40&md5=3ab8af5e073411d118ce87eef4e6201d,"Department of Public Administration and Graduate School of Governance, Sungkyunkwan University, Seoul, South Korea","Jun, H.-J., Department of Public Administration and Graduate School of Governance, Sungkyunkwan University, Seoul, South Korea","This study examined spatial dependence in neighborhood change between 1990 and 2010 in the largest 100 metropolitan areas in the U.S. By analyzing neighborhood housing value change, this study found that there is considerable spatial autocorrelation in neighborhood change. Neighborhoods form spatial clusters in neighborhood housing value and its change. The spatial analysis also showed that there was a persistent spatial inequality between the city and suburbs but that this spatial inequality has declined over time. Finally, this study suggests that coordinating community development efforts with surrounding neighborhoods rather than taking isolated actions can result in more successful outcomes. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",housing value; neighborhood change; Spatial dependence; spatial dynamics,autocorrelation; community development; housing market; neighborhood; spatial analysis; United States,Article,Final,,Scopus,2-s2.0-84986205284,0
Saunders P.,7202204472;,"Housing costs, poverty and inequality in Australia",2017,Housing Studies,32,6,,742,757,,17,10.1080/02673037.2016.1229757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986188733&doi=10.1080%2f02673037.2016.1229757&partnerID=40&md5=92178bb9769e2d20388eb80f541a8584,"Social Policy Research Centre, University of New South Wales, Sydney, Australia","Saunders, P., Social Policy Research Centre, University of New South Wales, Sydney, Australia","Housing costs have long been recognised as a factor contributing to poverty, and poverty researchers have estimated poverty using income before and after deducting housing costs. This paper examines the treatment of housing in the literatures on poverty and housing and applies the before and after housing costs approach to examine the extent of both poverty and income inequality in Australia and how they have changed since the early 2000s, focusing on the role of housing costs in the periods before and after the global financial crisis (GFC). Account has been taken of changes in the income measure used by the Australian Bureau of Statistics in its household income surveys as these have been shown to have a marked impact on empirical estimates. The findings indicate that taking account of housing costs leads to greater increases in both poverty and inequality between 2003–2004 and 2007–2008 and to smaller reductions in both since the GFC in 2007–2008. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",housing need; inequality; Poverty,cost analysis; housing; income distribution; poverty; Australia,Article,Final,,Scopus,2-s2.0-84986188733,1
"Soaita A.M., Searle B.A., McKee K., Moore T.",55440593200;23493343500;24470089200;35280093700;,Becoming a landlord: strategies of property-based welfare in the private rental sector in Great Britain,2017,Housing Studies,32,5,,613,637,,49,10.1080/02673037.2016.1228855,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988709937&doi=10.1080%2f02673037.2016.1228855&partnerID=40&md5=8557c437a283f261c1613141487b1f72,"Centre for Housing Research, University of St Andrews, St Andrews, United Kingdom; School of Social Sciences, University of Dundee, Dundee, United Kingdom; Town and Regional Planning, University of Sheffield, Sheffield, United Kingdom","Soaita, A.M., Centre for Housing Research, University of St Andrews, St Andrews, United Kingdom; Searle, B.A., School of Social Sciences, University of Dundee, Dundee, United Kingdom; McKee, K., Centre for Housing Research, University of St Andrews, St Andrews, United Kingdom; Moore, T., Town and Regional Planning, University of Sheffield, Sheffield, United Kingdom","Ongoing neoliberal policies have realigned the links between housing and welfare, positioning residential property investment–commonly through homeownership and exceptionally also through landlordism–at the core of households’ asset-building strategies. Nonetheless, the private rented sector (PRS) has been commonly portrayed as a tenure option for tenants rather than a welfare strategy for landlords. Drawing on qualitative interviews with landlords across Great Britain, we explore landlords’ different motivations in engaging in landlordism; and the ways in which their property-based welfare strategies are shaped by the particular intersection of individual socioeconomic and life-course circumstances, and the broader socioeconomic and financial environment. By employing a constructionist grounded approach to research, our study contributes to a more nuanced understanding of the different ways that asset-based welfare strategies operate within the PRS. We draw attention to an understudied nexus between homeownership and landlordism which we argue represents a promising route for future research. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",asset-based welfare; inequality; landlords; Private rental sector; property; United Kingdom,future prospect; homeownership; housing policy; neoliberalism; private sector; rental sector; research work; socioeconomic status; strategic approach; welfare economics; welfare provision; United Kingdom,Article,Final,,Scopus,2-s2.0-84988709937,0
"Bourassa S.C., Shi S.",7004828866;26665740900;,Understanding New Zealand’s decline in homeownership,2017,Housing Studies,32,5,,693,710,,6,10.1080/02673037.2016.1228851,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988661363&doi=10.1080%2f02673037.2016.1228851&partnerID=40&md5=6201fc86b09bea71181862c5e84a58a0,"School of Urban and Regional Planning and School of Public Administration, Florida Atlantic University, Boca Raton, FL, United States; School of Economics and Finance, Massey University, Palmerston North, New Zealand; Faculty of Design, Architecture and Building, University of Technology Sydney, Australia","Bourassa, S.C., School of Urban and Regional Planning and School of Public Administration, Florida Atlantic University, Boca Raton, FL, United States; Shi, S., School of Economics and Finance, Massey University, Palmerston North, New Zealand, Faculty of Design, Architecture and Building, University of Technology Sydney, Australia","Homeownership is an important component of the New Zealand lifestyle. In recent decades, however, the ownership rate has been declining and the reasons are poorly understood. This paper explains the decline using a decomposition technique that has been applied in other contexts. We find that borrowing constraints and ethnicity have been particularly important contributors to the decline. Rapidly rising house prices clearly have played a major role in the inability of income to keep up with prices and the increased impact of borrowing constraints. We also show that the increased down payment requirements imposed by the Reserve Bank of New Zealand in 2013 are unlikely to have affected the ownership rate. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",Homeownership; housing finance; New Zealand,banking; homeownership; housing conditions; housing finance; housing market; price dynamics; New Zealand,Article,Final,,Scopus,2-s2.0-84988661363,0
"Wu Q., Zhang X., Waley P.",7404602578;55604838800;6602416203;,"When Neil Smith met Pierre Bourdieu in Nanjing, China: bringing cultural capital into rent gap theory",2017,Housing Studies,32,5,,659,677,,24,10.1080/02673037.2016.1228849,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988632817&doi=10.1080%2f02673037.2016.1228849&partnerID=40&md5=ddef4c8615d36dd452e24651c53802eb,"The Center for Modern Chinese City Studies & School of Urban and Regional Science, East China Normal University, Shanghai, China; Urban Research Group, Department of Public Policy, City University of Hong Kong, Hong Kong; School of Geography, University of Leeds, Leeds, United Kingdom","Wu, Q., The Center for Modern Chinese City Studies & School of Urban and Regional Science, East China Normal University, Shanghai, China; Zhang, X., Urban Research Group, Department of Public Policy, City University of Hong Kong, Hong Kong; Waley, P., School of Geography, University of Leeds, Leeds, United Kingdom","In this paper, we expand rent-gap theory in conceptual and territorial terms. Hitherto, the theory has, as Neil Smith intended, been used in an economic sense; we argue here, borrowing ideas from Pierre Bourdieu, that in the competitive environment of Chinese education, a rent gap in cultural capital is created which can later be converted into economic capital. The process we identify is triggered by the purchase of an apartment in a catchment zone, crucial to obtaining entry into a prestigious ‘key’ school in most Chinese cities. This leads to apartments changing hands for high prices despite generally being old and dilapidated. The rent gap in cultural capital occurs when parents forego potential short-term gains to capitalize on the long-term benefits of a superior education. This is contrasted here with a somewhat more conventional scenario, where property developers exploit a rent gap on suburban apartments built in the catchment of branch ‘key’ schools. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",catchment zones; cultural capital; key schools; Rent gap theory; work unit housing,catchment; education; gentrification; urban housing; China; Jiangsu; Nanjing [Jiangsu],Article,Final,,Scopus,2-s2.0-84988632817,0
"Yang Z., Fan Y., Cheung C.H.-Y.",55907607900;56379369700;57191276200;,Housing assets to the elderly in urban China: to fund or to hedge?,2017,Housing Studies,32,5,,638,658,,14,10.1080/02673037.2016.1228853,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988613679&doi=10.1080%2f02673037.2016.1228853&partnerID=40&md5=1019b8f9ab76ebfbc9fbd37f83d1ff7c,"Hang Lung Center for Real Estate, Institute of Real Estate, Tsinghua University, Beijing, China","Yang, Z., Hang Lung Center for Real Estate, Institute of Real Estate, Tsinghua University, Beijing, China; Fan, Y., Hang Lung Center for Real Estate, Institute of Real Estate, Tsinghua University, Beijing, China; Cheung, C.H.-Y., Hang Lung Center for Real Estate, Institute of Real Estate, Tsinghua University, Beijing, China","Housing has become the most important asset held by a large proportion of China’s older citizens. Therefore, the role of housing wealth in the consumption decisions of the elderly is a central topic of research and gains insights into the saving, investment and consumption decisions made throughout household life to meet later pension needs. In this paper, using data drawn from a household survey conducted between 2002 and 2009, we estimate the influence of housing wealth on the non-housing consumption of the elderly, and identify the mechanisms underlying this relationship. We find that on average, changes in housing wealth have limited effects on elderly consumption. However, we also find that the role of housing in consumption differs according to the income, health status, and living arrangements of the elderly. The paper draws attention to the influence of housing and its links with social and health-care systems on the lives of older people, with important policy implications. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",Elderly consumption; fund; hedge; housing assets; social and health-care systems,elderly population; health care; health status; housing policy; income; urban housing; China,Article,Final,,Scopus,2-s2.0-84988613679,1
Barrios García J.A.,6506622324;,"Do homeowners cope better with economic crises in terms of employment? An analysis of micro panel data from Spain, 2004–2013",2017,Housing Studies,32,5,,566,583,,1,10.1080/02673037.2016.1224324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987916799&doi=10.1080%2f02673037.2016.1224324&partnerID=40&md5=fdf04123e018f156478d1581c1fd842d,"Facultad de Economía, Empresa y Turismo, Departamento de Economía Aplicada y Métodos Cuantitativos, Universidad de La Laguna (ULL), La Laguna, Spain","Barrios García, J.A., Facultad de Economía, Empresa y Turismo, Departamento de Economía Aplicada y Métodos Cuantitativos, Universidad de La Laguna (ULL), La Laguna, Spain","This paper investigates the effects of housing tenure choice on the employment status of individuals through the empirical estimation of different dynamic panel data models using Spanish data covering the period 2004–2013. I find that there is no sign of any significant spillover effect of the regional homeownership rate on the probability of employment, whereas the average effect on this probability for the lagged housing tenure choice is robust and significantly positive, ranging around two percentage points for the whole homeowners group and for those homeowners with a mortgage outstanding. The effect vanishes for the outright homeowners. Some implications for policies supporting home ownership are briefly discussed. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",dynamic probit model; Homeownership; housing tenure choice; Spain; unemployment,coping strategy; employment; homeowner; homeownership; panel data; policy approach; socioeconomic conditions; tenure system; unemployment; Spain,Article,Final,,Scopus,2-s2.0-84987916799,1
"Casey R., Maye-Banbury A.",16041737800;57191162706;,Relational and gendered selves: older Irish migrants’ housing and employment histories in the north and East Midlands of England,2017,Housing Studies,32,5,,678,692,,4,10.1080/02673037.2016.1228850,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987657176&doi=10.1080%2f02673037.2016.1228850&partnerID=40&md5=0ca6899890dbbca2a56f47773e5ae6a0,"Department of Natural and Built Environment, Sheffield Hallam University, City Campus, Sheffield, United Kingdom; Urban and Regional Studies, Sheffield Hallam University, City Campus, Sheffield, United Kingdom","Casey, R., Department of Natural and Built Environment, Sheffield Hallam University, City Campus, Sheffield, United Kingdom; Maye-Banbury, A., Urban and Regional Studies, Sheffield Hallam University, City Campus, Sheffield, United Kingdom","Most accounts of migration stress the economic necessity, but generally blur the role of migrants themselves in the process. It is also rare to consider male and female migrants together, or to explore the relational aspects of masculinity and femininity in migration histories. This paper explores the relational aspects of Irish (‘Irish’ is used throughout this article to refer to our participants who self-identified as ‘Irish’. It is further noted that all of the participants were from the Republic of Ireland and hence does not include Northern Irish migrants. Where ‘Ireland’ is used it refers to the Republic of Ireland) migrants’ residential and work histories using narrative enquiry. First, we explore the complex relationship between housing and employment in Irish women and men’s stories focusing particularly on the early phase of migration. Second, we argue that these narratives, especially the ‘intertwining personal, sub-cultural and cultural stories’ are essential in understanding Irish migrants’ experiences. Third, we posit that gender emerges as a significant factor with qualitative differences in Irish women’s and men’s trajectories. Our analysis focuses on the self-in-relation, housing pathways and gendered housing and employment strategies. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",employment; housing; Irish; Migrants; narratives,culture; employment; gender; historical perspective; housing; immigrant population; migrants experience; England; United Kingdom,Article,Final,,Scopus,2-s2.0-84987657176,0
"Waldron R., Redmond D.",56008271900;24471812600;,"“We’re just existing, not living!” Mortgage stress and the concealed costs of coping with crisis",2017,Housing Studies,32,5,,584,612,,27,10.1080/02673037.2016.1224323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983261321&doi=10.1080%2f02673037.2016.1224323&partnerID=40&md5=284783809b3689977e9998a68e11c046,"School of Architecture, Planning and Environmental Policy, University College Dublin, Dublin, Ireland","Waldron, R., School of Architecture, Planning and Environmental Policy, University College Dublin, Dublin, Ireland; Redmond, D., School of Architecture, Planning and Environmental Policy, University College Dublin, Dublin, Ireland","Following the financial crisis, an extensive literature has examined the vulnerabilities facing mortgagors in default and foreclosure. However, in addition to these “overt casualties” of the crash, many households are struggling to meet their mortgage payments by enduring severe cutbacks to their quality of life. The experiences of these “unrevealed casualties” of the financial crisis and the coping strategies they employ to respond to mortgage stress remain under-explored. Drawing on survey data of Irish mortgagors (n = 433), this paper examines the impacts of mortgage stress upon quality of life and mortgagors’ coping strategies to respond to their financial difficulties. The findings suggest that mortgage stress affects a broader range of households than previously considered; mortgage stressed households adopt a range of expenditure, employment, finance and housing-related responses; and more punitive responses correlate with greater mortgage stress levels, thereby providing a fuller account of the real cost of coping with the crisis impacts. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",coping strategy; financialisation; homeownership; quality of life; Ireland; Mortgage stress,coping strategy; employment; financial crisis; homeownership; household expenditure; mortgage lending; quality of life; Ireland,Article,Final,,Scopus,2-s2.0-84983261321,1
